"RW","          Housing Loan via Real Estate Developer In-house financing (not via bank)",63,28,35,18,9,19,17,7,5,12,32,19
"PV",,9.2375%,8.9457%,9.4851%,7.2874%,9.6774%,11.8750%,9.3407%,23.3333%,13.5135%,17.9104%,13.7339%,5.0265%
"MK",," M"," M"," M"," "," "," M"," "," AABCAEHAM"," M"," AABCAEAM"," EM"," "
"BL"
"RW","     INFORMAL LOANS (SUBNET)",338,149,189,125,41,85,87,9,12,21,114,199
"PV",,49.5601%,47.6038%,51.2195%,50.6073%,44.0860%,53.1250%,47.8022%,30.0000%,32.4324%,31.3433%,48.9270%,52.6455%
"MK",," IJK"," K"," IJK"," IJK"," "," IJK"," K"," "," "," "," K"," IJK"
"BL"
"RW","          5-6 lending /Bombay/Turko",299,131,168,106,36,75,82,9,11,20,100,176
"PV",,43.8416%,41.8530%,45.5285%,42.9150%,38.7097%,46.8750%,45.0549%,30.0000%,29.7297%,29.8507%,42.9185%,46.5608%
"MK",," K"," "," K"," "," "," K"," K"," "," "," "," "," JK"
"BL"
"RW","          Loan from relatives/family/friend/neighbor",211,99,112,73,31,44,63,8,7,15,76,118
"PV",,30.9384%,31.6294%,30.3523%,29.5547%,33.3333%,27.5000%,34.6154%,26.6667%,18.9189%,22.3881%,32.6180%,31.2169%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Loan from Sari-sari-store",159,69,90,51,21,39,48,7,3,10,59,87
"PV",,23.3138%,22.0447%,24.3902%,20.6478%,22.5806%,24.3750%,26.3736%,23.3333%,8.1081%,14.9254%,25.3219%,23.0159%
"MK",," J"," J"," J"," "," "," J"," J"," "," "," "," J"," J"
"BL"
"RW","Other and NONE (NET)",252,123,129,95,32,53,72,10,16,26,90,136
"PV",,36.9501%,39.2971%,34.9593%,38.4615%,34.4086%,33.1250%,39.5604%,33.3333%,43.2432%,38.8060%,38.6266%,35.9788%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Others",6,3,3,2,0,1,3,0,0,0,3,3
"PV",,0.8798%,0.9585%,0.8130%,0.8097%,0.0000%,0.6250%,1.6484%,0.0000%,0.0000%,0.0000%,1.2876%,0.7937%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     NONE",246,120,126,93,32,52,69,10,16,26,87,133
"PV",,36.0704%,38.3387%,34.1463%,37.6518%,34.4086%,32.5000%,37.9121%,33.3333%,43.2432%,38.8060%,37.3391%,35.1852%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","Total count",2426,1124,1302,743,344,630,709,157,132,289,969,1151
"PV",,355.7185%,359.1054%,352.8455%,300.8097%,369.8925%,393.7500%,389.5604%,523.3333%,356.7568%,431.3433%,415.8798%,304.4974%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"TE"
"TB","2"
"VT","QL1. AWARENESS - LOANS"
"HT","HEADER B. LOCALE AND MACROREGION"
"BT","ALL RESPONDENTS"
"CH",,,"LOCALE",,,"NORTH CENTRAL LUZON",,,"SOUTH LUZON",,,"VISAYAS",,,"MINDANAO",,
"CL",,"TOTAL (a)","URBAN (NET) (b)","RURAL (NET) (c)","NCR (NET) (d)","NCL (NET) (e)","NCL Urban (f)","NCL Rural (g)","SL (NET) (h)","SL Urban (i)","SL Rural (j)","Visayas (NET) (k)","Visayas Urban (l)","Visayas Rural (m)","Mindanao (NET) (n)","Mindanao Urban (o)","Mindanao Rural (p)"
"RT","Total",682,380,302,83,152,67,85,137,77,60,157,76,81,153,77,76
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"BL"
"RW","FROM BANKS (NET)",192,130,62,27,42,16,26,36,28,8,30,22,8,57,37,20
"PV",,28.1525%,34.2105%,20.5298%,32.5301%,27.6316%,23.8806%,30.5882%,26.2774%,36.3636%,13.3333%,19.1083%,28.9474%,9.8765%,37.2549%,48.0519%,26.3158%
"MK",," CJKM"," AACAAAJAKMA"," M"," CJKM"," JM"," M"," JKM"," JM"," CJKM"," "," "," JM"," "," AACAAAHJAKMA"," AABCADAEFGAHJAKLMAP"," M"
"BL"
"RW","     Housing Loan / Mortgage with bank",79,63,16,17,12,5,7,5,5,0,12,9,3,33,27,6
"PV",,11.5836%,16.5789%,5.2980%,20.4819%,7.8947%,7.4627%,8.2353%,3.6496%,6.4935%,0.0000%,7.6433%,11.8421%,3.7037%,21.5686%,35.0649%,7.8947%
"MK",," CHJM"," AACAAEAHIJAKMA"," "," AACAAEFGAHIJAKMAP"," J"," J"," J"," "," J"," "," J"," CHJ"," "," AACAAEFGAHIJAKMAP"," AABCADAEFGAHIJAKLMANP"," J"
"BL"
"RW","     Auto Loan / Car Loan with bank",66,54,12,13,11,4,7,3,3,0,7,5,2,32,29,3
"PV",,9.6774%,14.2105%,3.9735%,15.6627%,7.2368%,5.9701%,8.2353%,2.1898%,3.8961%,0.0000%,4.4586%,6.5789%,2.4691%,20.9150%,37.6623%,3.9474%
"MK",," CHJKM"," AACAAEAHIJAKMAP"," "," CEHIJKMP"," HJ"," "," HJ"," "," "," "," "," J"," "," AACAAEFGAHIJAKLMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","     Business Loan with bank",53,45,8,9,8,3,5,5,4,1,5,4,1,26,25,1
"PV",,7.7713%,11.8421%,2.6490%,10.8434%,5.2632%,4.4776%,5.8824%,3.6496%,5.1948%,1.6667%,3.1847%,5.2632%,1.2346%,16.9935%,32.4675%,1.3158%
"MK",," CKMP"," AACAAEAHJAKMAP"," "," CHJKMP"," "," "," "," "," "," "," "," "," "," AACAAEFGAHIJAKLMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","     MicroBusiness/SME Loan with bank",50,39,11,6,7,1,6,7,4,3,7,5,2,23,23,0
"PV",,7.3314%,10.2632%,3.6424%,7.2289%,4.6053%,1.4925%,7.0588%,5.1095%,5.1948%,5.0000%,4.4586%,6.5789%,2.4691%,15.0327%,29.8701%,0.0000%
"MK",," CP"," CEFKMP"," "," P"," "," "," P"," P"," P"," P"," "," P"," "," AACAAEFAHIJAKMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","     Loan with bank",79,63,16,13,15,7,8,10,8,2,10,9,1,31,26,5
"PV",,11.5836%,16.5789%,5.2980%,15.6627%,9.8684%,10.4478%,9.4118%,7.2993%,10.3896%,3.3333%,6.3694%,11.8421%,1.2346%,20.2614%,33.7662%,6.5789%
"MK",," CJM"," AACAAEAHJAKMAP"," "," CHJKM"," M"," M"," M"," M"," M"," "," "," CM"," "," AACAAEGAHJAKMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","     Personal Loan with bank",67,56,11,12,6,3,3,6,5,1,11,9,2,32,27,5
"PV",,9.8240%,14.7368%,3.6424%,14.4578%,3.9474%,4.4776%,3.5294%,4.3796%,6.4935%,1.6667%,7.0064%,11.8421%,2.4691%,20.9150%,35.0649%,6.5789%
"MK",," CEHJM"," AACAAEFGAHJAKMA"," "," CEFGHJM"," "," "," "," "," "," "," "," CEGHJM"," "," AACAAEFGAHIJAKMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","     Salary Loan with bank",95,71,24,17,19,8,11,10,10,0,15,12,3,34,24,10
"PV",,13.9296%,18.6842%,7.9470%,20.4819%,12.5000%,11.9403%,12.9412%,7.2993%,12.9870%,0.0000%,9.5541%,15.7895%,3.7037%,22.2222%,31.1688%,13.1579%
"MK",," CHJM"," AACAAAHJAKMA"," J"," CHJKM"," JM"," J"," JM"," J"," JM"," "," J"," CJM"," "," AACAAEAHJAKMA"," AABCAAEFGAHIJAKLMAP"," JM"
"BL"
"RW","     Credit card",110,85,25,22,23,8,15,15,14,1,12,10,2,38,31,7
"PV",,16.1290%,22.3684%,8.2781%,26.5060%,15.1316%,11.9403%,17.6471%,10.9489%,18.1818%,1.6667%,7.6433%,13.1579%,2.4691%,24.8366%,40.2597%,9.2105%
"MK",," CJKM"," AACAAAHJAKMAP"," "," AACAAEFAHJAKLMAP"," CJKM"," JM"," CJKM"," JM"," CJKM"," "," "," JM"," "," AACAAEFAHJAKLMAP"," AABCAAEFGAHIJAKLMANP"," "
"BL"
"RW","FROM NON-BANK SOURCES (NET)",408,247,161,48,102,45,57,72,52,20,71,45,26,115,57,58
"PV",,59.8240%,65.0000%,53.3113%,57.8313%,67.1053%,67.1642%,67.0588%,52.5547%,67.5325%,33.3333%,45.2229%,59.2105%,32.0988%,75.1634%,74.0260%,76.3158%
"MK",," JKM"," CHJKM"," JM"," JM"," CHJKM"," CHJKM"," CHJKM"," JM"," CHJKM"," "," "," JKM"," "," AABCADAAHJAKLMA"," AACADAAHJAKMA"," AACADAAHJAKLMA"
"BL"
"RW","     Loan with Cooperative",120,75,45,11,28,11,17,11,8,3,19,13,6,51,32,19
"PV",,17.5953%,19.7368%,14.9007%,13.2530%,18.4211%,16.4179%,20.0000%,8.0292%,10.3896%,5.0000%,12.1019%,17.1053%,7.4074%,33.3333%,41.5584%,25.0000%
"MK",," HJM"," HJKM"," HJ"," "," HJM"," J"," HJM"," "," "," "," "," HJ"," "," AABCADAEFGAHIJAKLMA"," AABCADAEFGAHIJAKLMAP"," CHIJKM"
"BL"
"RW","     Loan with Non-Stock Savings and Loan Association",33,30,3,7,1,0,1,1,0,1,3,2,1,21,21,0
"PV",,4.8387%,7.8947%,0.9934%,8.4337%,0.6579%,0.0000%,1.1765%,0.7299%,0.0000%,1.6667%,1.9108%,2.6316%,1.2346%,13.7255%,27.2727%,0.0000%
"MK",," CEHIP"," AACAAEFGAHIAKMAP"," "," CEFGHIKMP"," "," "," "," "," "," "," "," "," "," AABCAAEFGAHIJAKLMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","     Loan with Microfinance NGO",118,73,45,7,32,8,24,21,14,7,24,16,8,34,28,6
"PV",,17.3021%,19.2105%,14.9007%,8.4337%,21.0526%,11.9403%,28.2353%,15.3285%,18.1818%,11.6667%,15.2866%,21.0526%,9.8765%,22.2222%,36.3636%,7.8947%
"MK",," DP"," DMP"," "," "," DMP"," "," AACADAFAHJAKMAP"," "," "," "," "," DP"," "," DMP"," AABCADAEFAHIJAKLMANP"," "
"BL"
"RW","     Loan with Gov't agencies (i.e. GSIS, SSS, Pag-ibig)",158,105,53,27,48,22,26,15,12,3,21,11,10,47,33,14
"PV",,23.1672%,27.6316%,17.5497%,32.5301%,31.5789%,32.8358%,30.5882%,10.9489%,15.5844%,5.0000%,13.3758%,14.4737%,12.3457%,30.7190%,42.8571%,18.4211%
"MK",," CHJKM"," CHIJKLM"," J"," CHIJKLMP"," AACAAAHIJAKLMAP"," CHIJKLMP"," CHIJKLM"," "," J"," "," "," "," "," AACAAAHIJAKLMAP"," AABCAAAHIJAKLMAP"," J"
"BL"
"RW","     Loan from pawnshop/ pawning",75,53,22,16,9,1,8,4,3,1,7,5,2,39,28,11
"PV",,10.9971%,13.9474%,7.2848%,19.2771%,5.9211%,1.4925%,9.4118%,2.9197%,3.8961%,1.6667%,4.4586%,6.5789%,2.4691%,25.4902%,36.3636%,14.4737%
"MK",," FHJKM"," CEFHIJKM"," "," AACAAEFAHIJAKLMA"," "," "," FH"," "," "," "," "," "," "," AABCAAEFGAHIJAKLMA"," AABCADAEFGAHIJAKLMAP"," CEFHIJKM"
"BL"
"RW","     Loan with lending institutions/Financing companies (e.g. Home Credit, etc) (SUBNET)",183,127,56,27,31,14,17,24,21,3,21,16,5,80,49,31
"PV",,26.8328%,33.4211%,18.5430%,32.5301%,20.3947%,20.8955%,20.0000%,17.5182%,27.2727%,5.0000%,13.3758%,21.0526%,6.1728%,52.2876%,63.6364%,40.7895%
"MK",," CHJKM"," AACAAEFGAHJAKLMA"," JM"," CEHJKM"," JM"," JM"," JM"," JM"," JKM"," "," "," JM"," "," AABCADAEFGAHIJAKLMA"," AABCADAEFGAHIJAKLMAP"," AACAAEFGAHJAKLMA"
"BL"
"RW","          Loan via Home Credit",153,106,47,20,26,14,12,17,15,2,17,12,5,73,45,28
"PV",,22.4340%,27.8947%,15.5629%,24.0964%,17.1053%,20.8955%,14.1176%,12.4088%,19.4805%,3.3333%,10.8280%,15.7895%,6.1728%,47.7124%,58.4416%,36.8421%
"MK",," CHJKM"," AACAAEGAHJAKLMA"," JM"," HJKM"," JM"," JKM"," J"," J"," JM"," "," "," J"," "," AABCADAEFGAHIJAKLMA"," AABCADAEFGAHIJAKLMAP"," AACAAEFGAHIJAKLMA"
"BL"
"RW","          Online Loans",75,59,16,18,10,3,7,10,9,1,6,5,1,31,24,7
"PV",,10.9971%,15.5263%,5.2980%,21.6867%,6.5789%,4.4776%,8.2353%,7.2993%,11.6883%,1.6667%,3.8217%,6.5789%,1.2346%,20.2614%,31.1688%,9.2105%
"MK",," CJKM"," AACAAEFAHJAKLMA"," "," AACAAEFGAHJAKLMAP"," "," "," M"," M"," CJKM"," "," "," "," "," AACAAEFGAHJAKLMAP"," AABCAAEFGAHIJAKLMAP"," M"
"BL"
"RW","          Loans from e-wallet/mobile money/mobile bank/ e-remittance / any financial apps or websites",57,48,9,14,6,2,4,3,1,2,5,4,1,29,27,2
"PV",,8.3578%,12.6316%,2.9801%,16.8675%,3.9474%,2.9851%,4.7059%,2.1898%,1.2987%,3.3333%,3.1847%,5.2632%,1.2346%,18.9542%,35.0649%,2.6316%
"MK",," CHIKM"," AACAAEFGAHIJAKMAP"," "," AACAAEFGAHIJAKLMAP"," "," "," "," "," "," "," "," "," "," AACAAEFGAHIJAKLMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","     Multi-Purpose Loans from private companies (SUBNET)",70,61,9,16,9,4,5,4,2,2,10,9,1,31,30,1
"PV",,10.2639%,16.0526%,2.9801%,19.2771%,5.9211%,5.9701%,5.8824%,2.9197%,2.5974%,3.3333%,6.3694%,11.8421%,1.2346%,20.2614%,38.9610%,1.3158%
"MK",," CHIMP"," AACAAEFGAHIJAKMAP"," "," AACAAEFGAHIJAKMAP"," "," "," "," "," "," "," "," CHIMP"," "," AACAAEFGAHIJAKMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","          Car Loan with Dealership's Financing Service",54,49,5,12,4,2,2,3,2,1,7,6,1,28,27,1
"PV",,7.9179%,12.8947%,1.6556%,14.4578%,2.6316%,2.9851%,2.3529%,2.1898%,2.5974%,1.6667%,4.4586%,7.8947%,1.2346%,18.3007%,35.0649%,1.3158%
"MK",," CEHMP"," AACAAEFGAHIJAKMAP"," "," AACAAEFGAHIJAKMAP"," "," "," "," "," "," "," "," CHM"," "," AACAAEFGAHIJAKLMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","          Housing Loan via Real Estate Developer In-house financing (not via bank)",63,54,9,14,7,2,5,4,2,2,8,7,1,30,29,1
"PV",,9.2375%,14.2105%,2.9801%,16.8675%,4.6053%,2.9851%,5.8824%,2.9197%,2.5974%,3.3333%,5.0955%,9.2105%,1.2346%,19.6078%,37.6623%,1.3158%
"MK",," CHIMP"," AACAAEFGAHIJAKMAP"," "," AACAAEFGAHIJAKMAP"," "," "," "," "," "," "," "," CHMP"," "," AACAAEFGAHIJAKLMAP"," AABCADAEFGAHIJAKLMANP"," "
"BL"
"RW","     INFORMAL LOANS (SUBNET)",338,200,138,40,92,40,52,44,28,16,65,42,23,97,50,47
"PV",,49.5601%,52.6316%,45.6954%,48.1928%,60.5263%,59.7015%,61.1765%,32.1168%,36.3636%,26.6667%,41.4013%,55.2632%,28.3951%,63.3987%,64.9351%,61.8421%
"MK",," HIJM"," HIJKM"," HJM"," HJM"," AACAAAHIJAKMA"," CHIJKM"," AACAAAHIJAKMA"," "," "," "," JM"," HIJKM"," "," AABCADAAHIJAKMA"," AABCADAAHIJAKMA"," AACAAAHIJAKMA"
"BL"
"RW","          5-6 lending /Bombay/Turko",299,178,121,36,88,39,49,36,25,11,43,29,14,96,49,47
"PV",,43.8416%,46.8421%,40.0662%,43.3735%,57.8947%,58.2090%,57.6471%,26.2774%,32.4675%,18.3333%,27.3885%,38.1579%,17.2840%,62.7451%,63.6364%,61.8421%
"MK",," HJKM"," HIJKM"," HJKM"," HJKM"," AABCADAAHIJAKLMA"," AACAAAHIJAKLMA"," AACAAAHIJAKLMA"," "," M"," "," "," JM"," "," AABCADAAHIJAKLMA"," AABCADAAHIJAKLMA"," AABCADAAHIJAKLMA"
"BL"
"RW","          Loan from relatives/family/friend/neighbor",211,133,78,24,42,22,20,26,13,13,57,36,21,62,38,24
"PV",,30.9384%,35.0000%,25.8278%,28.9157%,27.6316%,32.8358%,23.5294%,18.9781%,16.8831%,21.6667%,36.3057%,47.3684%,25.9259%,40.5229%,49.3506%,31.5789%
"MK",," HI"," CGHIJ"," "," "," "," HI"," "," "," "," "," CGHIJ"," AABCADAEGAHIJAMAP"," "," AACAAEGAHIJAMA"," AABCADAEFGAHIJAMAP"," HI"
"BL"
"RW","          Loan from Sari-sari-store",159,108,51,21,29,15,14,24,11,13,39,28,11,46,33,13
"PV",,23.3138%,28.4211%,16.8874%,25.3012%,19.0789%,22.3881%,16.4706%,17.5182%,14.2857%,21.6667%,24.8408%,36.8421%,13.5802%,30.0654%,42.8571%,17.1053%
"MK",," CM"," CEGHIMP"," "," "," "," "," "," "," "," "," CM"," AACAAEGAHIAMAP"," "," CEGHIMP"," AABCADAEFGAHIJAKMAP"," "
"BL"
"RW","Other and NONE (NET)",252,119,133,32,48,20,28,52,16,36,85,30,55,35,21,14
"PV",,36.9501%,31.3158%,44.0397%,38.5542%,31.5789%,29.8507%,32.9412%,37.9562%,20.7792%,60.0000%,54.1401%,39.4737%,67.9012%,22.8758%,27.2727%,18.4211%
"MK",," INP"," P"," AABAAEFAIAANOP"," INP"," P"," "," P"," INP"," "," AABCADAEFGAHIALANOP"," AABCADAEFGAHIALANOP"," INP"," AABCADAEFGAHIAKLANOP"," "," "," "
"BL"
"RW","     Others",6,3,3,0,0,0,0,4,1,3,1,1,0,1,1,0
"PV",,0.8798%,0.7895%,0.9934%,0.0000%,0.0000%,0.0000%,0.0000%,2.9197%,1.2987%,5.0000%,0.6369%,1.3158%,0.0000%,0.6536%,1.2987%,0.0000%
"MK",," "," "," "," "," "," "," "," AAAAEAAA"," "," AABCADAEGAAKMANP"," "," "," "," "," "," "
"BL"
"RW","     NONE",246,116,130,32,48,20,28,48,15,33,84,29,55,34,20,14
"PV",,36.0704%,30.5263%,43.0464%,38.5542%,31.5789%,29.8507%,32.9412%,35.0365%,19.4805%,55.0000%,53.5032%,38.1579%,67.9012%,22.2222%,25.9740%,18.4211%
"MK",," INP"," P"," AABAAEFAIAANOP"," INP"," P"," "," P"," INP"," "," AABAAEFGAHIAANOP"," AABCADAEFGAHIALANOP"," INP"," AABCADAEFGAHIAKLANOP"," "," "," "
"BL"
"RW","Total count",2426,1666,760,368,479,200,279,288,184,104,420,267,153,871,647,224
"PV",,355.7185%,438.4211%,251.6556%,443.3735%,315.1316%,298.5075%,328.2353%,210.2190%,238.9610%,173.3333%,267.5159%,351.3158%,188.8889%,569.2810%,840.2597%,294.7368%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"TE"
"TB","3"
"VT","QL1. AWARENESS - LOANS"
"HT","HEADER C. USERSHIP"
"BT","ALL RESPONDENTS"
"CH",,,"USERSHIP",,"WHETHER GCASH USERS",
"CL",,"TOTAL (a)","NON-USERS (b)","USERS (c)","GCASH NON-USERS (d)","GCASH USERS (e)"
"RT","Total",682,249,315,385,297
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"BL"
"RW","FROM BANKS (NET)",192,61,100,94,98
"PV",,28.1525%,24.4980%,31.7460%,24.4156%,32.9966%
"MK",," "," "," D"," "," BD"
"BL"
"RW","     Housing Loan / Mortgage with bank",79,27,41,39,40
