"BE","MRDCL Tables"
"JH","PROJECT WALL E"
"JF"," "
"TB","1"
"VT","PROFILE"
"HT","HEADER A. GENERAL PROFILE"
"BT","ALL RESPONDENTS"
"CH",,,"GENDER",,"LIFESTAGE",,,,,"SEC",,,,
"MK",," CEFGH"," AACAEFGHAJ"," EFGH"," AABCAEFGHAJKLM"," "," "," "," "," "," EFGH"," EFGH"," CEFGH"," EFGH"
"BL"
"RW","     21-28 years old (YUPPIES)",136,67,69,0,136,0,0,0,5,2,6,44,85
"PV",,22.6507%,21.8998%,23.4212%,0.0000%,75.7311%,0.0000%,0.0000%,0.0000%,29.9487%,8.4176%,17.4964%,23.9408%,22.5123%
"MK",," DFGH"," DFGH"," DFGH"," "," AABCADFGHAJKLM"," "," "," "," "," DFGH"," DFGH"," DFGHJ"," DFGH"
"BL"
"RW","     29-37 years old (TRANSITONERS)",140,61,79,0,44,64,32,0,1,5,6,46,88
"PV",,23.2915%,20.1345%,26.5309%,0.0000%,24.2689%,100.0000%,28.1977%,0.0000%,7.7833%,24.1718%,17.2615%,24.7983%,23.1307%
"MK",," DH"," DH"," DH"," "," DH"," AABCADEGHAJKLM"," DH"," "," "," DH"," DH"," DH"," DH"
"BL"
"RW","     38-51 years old (BALANCERS)",127,58,68,0,0,0,81,45,4,6,9,31,86
"PV",,21.1004%,19.1531%,23.0984%,0.0000%,0.0000%,0.0000%,71.8023%,41.1810%,23.7828%,27.9960%,26.2195%,16.6912%,22.7660%
"MK",," DEF"," DEF"," DEF"," "," "," "," AABCADEFHAJKLM"," AABCADEFALM"," "," DEF"," DEF"," DEF"," DEF"
"BL"
"RW","     52-65 years old (OLDER ADULTS)",65,32,33,0,0,0,0,65,2,6,8,20,37
"PV",,10.7876%,10.5517%,11.0295%,0.0000%,0.0000%,0.0000%,0.0000%,58.8190%,13.7647%,29.2140%,22.6997%,10.8141%,9.6379%
"MK",," DEFG"," DEFG"," DEFG"," "," "," "," "," AABCADEFGAJKLM"," "," AABCADEFGALM"," AABCADEFGALM"," DEFG"," DEFG"
"RH","GENDER"
"BL"
"RW","     Male",304,304,0,86,81,35,43,58,9,11,20,95,189
"PV",,50.6444%,100.0000%,0.0000%,64.5583%,45.1122%,55.1684%,38.3656%,52.8365%,57.6140%,54.9242%,56.0584%,51.1487%,49.8814%
"MK",," CG"," AACADEFGHAJKLM"," "," AACAEGALM"," C"," CG"," C"," CG"," "," C"," CG"," CG"," CG"
"BL"
"RW","     Female",296,0,296,47,98,29,70,52,6,9,16,90,190
"PV",,49.3556%,0.0000%,100.0000%,35.4417%,54.8878%,44.8316%,61.6344%,47.1635%,42.3860%,45.0758%,43.9416%,48.8513%,50.1186%
"MK",," BD"," "," AABADEFGHAJKLM"," B"," BD"," B"," AABADFHAKLM"," B"," "," B"," B"," BD"," BD"
"RH","EMPLOYMENT STATUS"
"BL"
"RW","     WORKING",320,211,109,26,95,47,74,78,10,11,21,94,205
"PV",,53.3218%,69.3931%,36.8308%,19.4059%,52.7239%,73.7294%,65.0884%,71.2695%,63.2575%,53.1858%,57.4326%,50.6375%,54.2409%
"MK",," CD"," AACADEALM"," D"," "," CD"," AACADEAJKLM"," AACADEALM"," AACADEALM"," "," D"," CD"," CD"," CD"
"BL"
"RW","          Self-employed/Business-owner",76,44,32,3,18,4,25,26,4,6,10,26,40
"PV",,12.6893%,14.4490%,10.8836%,2.4937%,9.9324%,6.1720%,22.3488%,23.3789%,28.7499%,27.7630%,28.1791%,13.8992%,10.6201%
"MK",," D"," D"," D"," "," D"," "," AABCADEFAM"," AABCADEFALM"," "," AABCADEFALM"," AABCADEFALM"," D"," D"
"BL"
"RW","          Working Full-time",190,140,50,15,63,32,38,43,5,3,9,59,123
"PV",,31.7211%,46.0902%,16.9768%,11.1793%,35.0466%,49.2178%,33.8506%,38.7185%,34.5076%,15.8685%,23.7278%,32.0084%,32.3435%
"MK",," CD"," AACADEGAJKLM"," "," "," CDJ"," AACADEGAJKLM"," CD"," CDJK"," "," "," D"," CD"," CD"
"BL"
"RW","          Working Part-time",53,27,27,8,14,12,10,10,0,2,2,9,43
"PV",,8.9114%,8.8539%,8.9704%,5.7328%,7.7449%,18.3396%,8.8890%,9.1721%,0.0000%,9.5543%,5.5257%,4.7300%,11.2773%
"MK",," "," "," "," "," "," AABCADEAKL"," "," "," "," "," "," "," L"
"BL"
"RW","     NON-WORKING",278,93,186,106,84,17,40,32,6,10,15,90,173
"PV",,46.3615%,30.4498%,62.6887%,79.7264%,47.0101%,25.8527%,34.9116%,28.7305%,36.7425%,46.8142%,42.5674%,48.7387%,45.5622%
"MK",," BFGH"," "," AABAEFGHAKLM"," AABCAEFGHAJKLM"," BFGH"," "," "," "," "," F"," F"," BFGH"," BFGH"
"BL"
"RW","          Housewife/Stay at home husband",119,2,117,11,46,13,30,21,0,5,5,31,83
"PV",,19.8819%,0.7255%,39.5384%,8.1122%,25.4001%,19.8396%,26.1698%,18.6660%,0.0000%,24.1632%,13.9746%,16.7267%,21.9870%
"MK",," BD"," "," AABADEFGHAKLM"," B"," BDL"," BD"," BDL"," BD"," "," BD"," B"," BD"," BD"
"BL"
"RW","          Student",103,71,32,88,15,0,0,0,4,2,6,43,55
"PV",,17.1944%,23.4981%,10.7261%,66.3848%,8.2815%,0.0000%,0.0000%,0.0000%,26.4120%,9.6648%,16.7264%,23.0028%,14.4014%
"MK",," CEFGH"," AACAEFGHAM"," FGH"," AABCAEFGHAJKLM"," FGH"," "," "," "," "," FGH"," FGH"," CEFGHM"," EFGH"
"BL"
"RW","          Retired",0,0,0,0,0,0,0,0,0,0,0,0,0
"PV",,0.0208%,0.0411%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.1134%,0.8189%,0.0000%,0.3453%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Unemployed",56,19,37,7,24,4,10,11,1,3,4,17,35
"PV",,9.2645%,6.1851%,12.4242%,5.2294%,13.3285%,6.0131%,8.7419%,9.9511%,9.5116%,12.9862%,11.5211%,9.0093%,9.1738%
"MK",," "," "," BD"," "," BD"," "," "," "," "," "," "," "," "
"TE"
"EN"
